__ID__,__Targets__
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,0
12,0
13,1
14,0
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,0
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,0
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,0
47,0
48,1
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,1
65,0
66,1
67,0
68,1
69,0
70,1
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,0
79,0
80,1
81,1
82,0
83,1
84,0
85,1
86,1
87,1
88,0
89,1
90,1
91,0
92,1
93,1
94,1
95,1
96,1
97,1
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,1
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,1
118,0
119,0
120,0
121,0
122,0
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,1
132,0
133,0
134,0
135,0
136,1
137,0
138,1
139,1
140,0
141,0
142,1
143,1
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,1
152,1
153,0
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,0
162,0
163,1
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,1
172,0
173,1
174,0
175,1
176,0
177,0
178,0
179,1
180,1
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,1
189,0
190,1
191,0
192,1
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,1
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,1
222,1
223,1
224,1
225,0
226,1
227,1
228,1
229,0
230,0
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,0
241,0
242,1
243,1
244,0
245,1
246,1
247,1
248,1
249,0
250,0
251,0
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,0
260,1
261,0
262,0
263,1
264,1
265,0
266,1
267,0
268,1
269,1
270,1
271,0
272,0
273,0
274,0
275,1
276,1
277,0
278,0
279,1
280,1
281,1
282,0
283,0
284,0
285,0
286,1
287,1
288,1
289,1
290,1
291,1
292,0
293,1
294,0
295,1
296,0
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,0
315,1
316,1
317,0
318,1
319,1
320,1
321,0
322,1
323,1
324,0
325,0
326,1
327,1
328,1
329,0
330,1
331,0
332,1
333,0
334,0
335,1
336,1
337,1
338,0
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,0
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,0
370,1
371,1
372,0
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,1
394,0
395,0
396,0
397,1
398,0
399,1
400,1
401,0
402,0
403,0
404,1
405,0
406,1
407,0
408,1
409,0
410,1
411,1
412,0
413,0
414,1
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,1
435,1
436,0
437,1
438,1
439,0
440,1
441,1
442,1
443,1
444,1
445,0
446,0
447,1
448,1
449,1
450,0
451,0
452,1
453,1
454,1
455,1
456,1
457,0
458,1
459,0
460,0
461,0
462,0
463,1
464,0
465,0
466,1
467,1
468,0
469,0
470,1
471,0
472,1
473,1
474,1
475,0
476,1
477,1
478,1
479,1
480,0
481,1
482,0
483,0
484,0
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,0
497,1
498,0
499,0
500,1
501,1
502,1
503,0
504,1
505,1
506,0
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,0
517,1
518,1
519,0
520,0
521,0
522,1
523,1
524,0
525,1
526,0
527,1
528,1
529,1
530,1
531,0
532,1
533,1
534,1
535,0
536,0
537,1
538,0
539,1
540,0
541,0
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,0
550,1
551,1
552,1
553,1
554,1
555,1
556,0
557,1
558,0
559,1
560,1
561,0
562,1
563,1
564,0
565,1
566,1
567,0
568,1
569,1
570,0
571,1
572,0
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,0
581,0
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,0
591,1
592,0
593,0
594,0
595,1
596,0
597,1
598,1
599,1
600,1
601,1
602,0
603,0
604,1
605,1
606,0
607,0
608,0
609,1
610,1
611,1
612,0
613,0
614,0
615,0
616,1
617,1
618,1
619,1
620,0
621,0
622,1
623,0
624,0
625,1
626,0
627,1
628,1
629,1
630,0
631,0
632,1
633,0
634,1
635,1
636,1
637,0
638,0
639,0
640,1
641,0
642,1
643,0
644,0
645,0
646,0
647,1
648,0
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,0
658,0
659,0
660,0
661,1
662,0
663,0
664,1
665,0
666,1
667,1
668,1
669,0
670,1
671,1
672,1
673,1
674,0
675,1
676,1
677,1
678,1
679,1
680,0
681,0
682,1
683,0
684,0
685,0
686,1
687,0
688,1
689,1
690,0
691,1
692,0
693,0
694,1
695,0
696,1
697,0
698,0
699,0
700,0
701,1
702,0
703,1
704,1
705,0
706,0
707,1
708,1
709,0
710,0
711,1
712,1
713,0
714,1
715,1
716,1
717,0
718,1
719,1
720,0
721,0
722,1
723,1
724,1
725,0
726,1
727,0
728,0
729,0
730,1
731,1
732,1
733,1
734,0
735,1
736,1
737,0
738,1
739,1
740,0
741,1
742,1
743,0
744,0
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,0
755,1
756,0
757,1
758,1
759,1
760,1
761,1
762,0
763,1
764,1
765,1
766,0
767,1
768,1
769,1
770,1
771,1
772,1
773,0
774,1
775,1
776,1
777,0
778,1
779,1
780,0
781,1
782,1
783,1
784,0
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,0
793,1
794,0
795,0
796,1
797,1
798,1
799,1
800,1
801,0
802,0
803,1
804,1
805,1
806,0
807,1
808,1
809,1
810,0
